0.1 	20.0	13.0	0.587   0.005   3.0     5000.0 	0.0
0.1     99.99	79.99	0.587	0.003	3.122	16.125	1.0
0.14405	114.1	85  	0.587	0.004	3.317	83.96	1.0
0.352	53      49.99	0.587	0.005	3.141	24.51	1.0
0.28	34.99	25  	0.587	0.010	2.990	101.91	1.0
0.18	65.4	23  	0.587	0.007	3.050	25.80	1.0
0.12	148     39.99	0.149	0.009	3.052	71.17	1.0
0.376	73.8	28      0.3745	0.010	3.068	250.69	1.0
0.1     111     39.99	0.154	0.010	3.028	27.31	1.0
0.106	136 	34  	0.137	0.006	3.220	3.01	1.0
0.19	60.2	25  	0.507	0.005	3.222	10.75	1.0
0.335	49.99	25  	0.306	0.008	3.000	2.58	1.0
0.173	137     26      0.306	0.007	3.278	0.43	1.0
0.335	49.99	23      0.487	0.008	3.129	48.16	1.0
0.283	45.5	25      0.587	0.011	3.138	13.33	1.0
0.23	39.3	19.99	0.392	0.003	3.428	0.86	1.0
0.242	41      22  	2.43	0.011	3.000	14.19	1.0
0.243	46.1	29.99	0.641	0.007	3.319	23.87	1.0
0.72	29.99	15      0.587	0.010	3.078	23.22	0.0
0.72	68  	25  	0.587	0.019	3.100	3.225	0.0
0.108	126     49   	0.587	0.020	2.897	6.45	1.0
0.5 	24      12  	0.587	0.003	3.211	83.21	0.0
